,movie_id,directors,averagerating,numvotes,title,region,year,runtime_minutes,genres,production_budget,domestic_gross,foreign_gross,profit,roi
67,tt1041804,Andrey Konchalovskiy,4.3,3119,The Nutcracker in 3D,PL,2010,110.0,Family,90000000.0,195459.0,20270557.0,-69533984.0,-0.7725998222222222
67,tt1041804,Andrey Konchalovskiy,4.3,3119,The Nutcracker in 3D,PL,2010,110.0,Fantasy,90000000.0,195459.0,20270557.0,-69533984.0,-0.7725998222222222
68,tt1038919,Andy Tennant,5.6,112444,The Bounty Hunter,US,2010,110.0,Action,45000000.0,67061228.0,68747609.0,90808837.0,2.0179741555555557
68,tt1038919,Andy Tennant,5.6,112444,The Bounty Hunter,US,2010,110.0,Comedy,45000000.0,67061228.0,68747609.0,90808837.0,2.0179741555555557
68,tt1038919,Andy Tennant,5.6,112444,The Bounty Hunter,US,2010,110.0,Romance,45000000.0,67061228.0,68747609.0,90808837.0,2.0179741555555557
69,tt1038686,Scott Stewart,5.2,92709,Legion,CA,2010,100.0,Action,26000000.0,40168080.0,27479494.0,41647574.0,1.6018297692307693
69,tt1038686,Scott Stewart,5.2,92709,Legion,CA,2010,100.0,Fantasy,26000000.0,40168080.0,27479494.0,41647574.0,1.6018297692307693
69,tt1038686,Scott Stewart,5.2,92709,Legion,CA,2010,100.0,Horror,26000000.0,40168080.0,27479494.0,41647574.0,1.6018297692307693
71,tt1155076,Harald Zwart,6.2,146401,The Karate Kid,RO,2010,140.0,Action,40000000.0,176591618.0,175183320.0,311774938.0,7.79437345
71,tt1155076,Harald Zwart,6.2,146401,The Karate Kid,RO,2010,140.0,Drama,40000000.0,176591618.0,175183320.0,311774938.0,7.79437345
71,tt1155076,Harald Zwart,6.2,146401,The Karate Kid,RO,2010,140.0,Family,40000000.0,176591618.0,175183320.0,311774938.0,7.79437345
72,tt1164999,Alejandro G. Iñárritu,7.5,80382,Biutiful,IL,2010,148.0,Drama,35000000.0,5101237.0,19586287.0,-10312476.0,-0.2946421714285714
72,tt1164999,Alejandro G. Iñárritu,7.5,80382,Biutiful,IL,2010,148.0,Romance,35000000.0,5101237.0,19586287.0,-10312476.0,-0.2946421714285714
73,tt1484522,Steven Greenstreet,7.0,1190,8: The Mormon Proposition,US,2010,80.0,Documentary,2500000.0,100280.0,0.0,-2399720.0,-0.959888
74,tt1231583,Todd Phillips,6.5,303523,Due Date,GR,2010,95.0,Adventure,65000000.0,100539043.0,111200000.0,146739043.0,2.2575237384615385
